iter	Passed	Remaining
401	17434	25934
402	17479	25893
403	17521	25848
404	17565	25806
405	17608	25761
406	17649	25715
407	17694	25674
408	17735	25627
409	17778	25584
410	17819	25537
411	17862	25492
412	17903	25445
413	17945	25400
414	17988	25357
415	18029	25311
416	18071	25264
417	18116	25224
418	18160	25181
419	18204	25139
420	18250	25100
421	18299	25063
422	18342	25020
423	18384	24975
424	18426	24929
425	18466	24882
426	18513	24843
427	18554	24797
428	18598	24754
429	18641	24710
430	18683	24665
431	18728	24624
432	18770	24579
433	18813	24535
434	18855	24490
435	18898	24447
436	18938	24398
437	18978	24350
438	19019	24304
439	19060	24258
440	19100	24210
441	19141	24165
442	19191	24129
443	19232	24083
444	19277	24042
445	19319	23998
446	19361	23953
447	19402	23906
448	19443	23860
449	19487	23817
450	19535	23780
451	19578	23737
452	19626	23698
453	19668	23654
454	19716	23615
455	19761	23574
456	19801	23528
457	19844	23483
458	19885	23438
459	19926	23392
460	19967	23346
461	20010	23302
462	20052	23257
463	20097	23216
464	20141	23173
465	20182	23128
466	20225	23083
467	20267	23039
468	20308	22993
469	20353	22951
470	20395	22906
471	20436	22860
472	20476	22814
473	20517	22768
474	20558	22722
475	20603	22680
476	20645	22636
477	20690	22594
478	20733	22551
479	20779	22511
480	20824	22469
481	20872	22431
482	20919	22391
483	20960	22346
484	21004	22303
485	21048	22261
486	21089	22215
487	21138	22177
488	21179	22131
489	21221	22087
490	21265	22045
491	21307	22000
492	21347	21954
493	21389	21908
494	21430	21863
495	21471	21818
496	21514	21774
497	21560	21733
498	21605	21691
499	21650	21650
500	21691	21604
501	21731	21558
502	21772	21512
503	21810	21464
504	21850	21417
505	21887	21368
506	21926	21321
507	21968	21276
508	22009	21231
509	22054	21189
510	22094	21143
511	22139	21101
512	22177	21053
513	22221	21010
514	22263	20966
515	22305	20922
516	22345	20876
517	22390	20833
518	22428	20786
519	22472	20743
520	22514	20699
521	22563	20661
522	22614	20625
523	22656	20580
524	22700	20538
525	22741	20493
526	22784	20449
527	22832	20410
528	22877	20368
529	22916	20322
530	22955	20274
531	22996	20229
532	23039	20186
533	23083	20143
534	23126	20100
535	23168	20056
536	23215	20015
537	23256	19971
538	23296	19925
539	23334	19877
540	23378	19834
541	23417	19788
542	23460	19744
543	23499	19697
544	23543	19655
545	23587	19612
546	23627	19566
547	23665	19519
548	23707	19475
549	23750	19432
550	23792	19388
551	23831	19341
552	23870	19294
553	23908	19247
554	23947	19201
555	23986	19154
556	24027	19109
557	24067	19064
558	24111	19021
559	24152	18976
560	24191	18930
561	24232	18886
562	24269	18838
563	24311	18793
564	24350	18747
565	24391	18703
566	24428	18655
567	24469	18610
568	24510	18565
569	24555	18524
570	24595	18479
571	24636	18434
572	24675	18387
573	24713	18341
574	24753	18296
575	24792	18250
576	24831	18204
577	24869	18157
578	24908	18111
579	24946	18064
580	24985	18018
581	25027	17974
582	25069	17931
583	25111	17887
584	25150	17842
585	25189	17795
586	25227	17749
587	25265	17703
588	25304	17657
589	25342	17610
590	25383	17566
591	25423	17521
592	25462	17475
593	25507	17434
594	25544	17387
595	25587	17344
596	25626	17299
597	25664	17252
598	25706	17208
599	25742	17161
600	25783	17117
601	25822	17071
602	25861	17026
603	25901	16981
604	25941	16936
605	25985	16894
606	26023	16848
607	26064	16804
608	26101	16758
609	26140	16712
610	26179	16667
611	26218	16622
612	26255	16575
613	26296	16531
614	26343	16491
615	26389	16450
616	26435	16409
617	26476	16366
618	26516	16321
619	26559	16278
620	26603	16236
621	26646	16193
622	26692	16152
623	26740	16112
624	26785	16071
625	26836	16033
626	26897	16001
627	26949	15963
628	26998	15924
629	27043	15882
630	27085	15839
631	27126	15795
632	27172	15753
633	27214	15710
634	27258	15668
635	27300	15624
636	27341	15580
637	27381	15536
638	27420	15491
639	27459	15446
640	27500	15401
641	27545	15360
642	27591	15318
643	27637	15278
644	27682	15236
645	27723	15192
646	27762	15147
647	27802	15102
648	27841	15057
649	27883	15013
650	27926	14971
651	27967	14927
652	28008	14883
653	28049	14839
654	28090	14795
655	28135	14754
656	28178	14711
657	28217	14666
658	28258	14622
659	28296	14576
660	28337	14532
661	28376	14488
662	28415	14443
663	28453	14398
664	28494	14354
665	28534	14310
666	28579	14268
667	28623	14226
668	28666	14183
669	28707	14139
670	28744	14093
671	28784	14049
672	28824	14005
673	28864	13961
674	28903	13916
675	28943	13872
676	28980	13826
677	29019	13782
678	29061	13738
679	29101	13694
680	29144	13652
681	29183	13607
682	29224	13563
683	29263	13519
684	29306	13476
685	29346	13432
686	29384	13387
687	29423	13343
688	29465	13299
689	29503	13255
690	29545	13212
691	29587	13169
692	29631	13126
693	29671	13082
694	29708	13037
695	29746	12992
696	29787	12949
697	29825	12904
698	29864	12859
699	29904	12816
700	29941	12771
701	29981	12726
702	30024	12684
703	30064	12640
704	30108	12598
705	30147	12554
706	30188	12510
707	30227	12466
708	30265	12422
709	30307	12379
710	30345	12334
711	30383	12289
712	30426	12247
713	30475	12207
714	30517	12164
715	30558	12121
716	30600	12077
717	30639	12033
718	30677	11989
719	30714	11944
720	30754	11900
721	30795	11857
722	30835	11813
723	30875	11770
724	30913	11725
725	30955	11682
726	30995	11639
727	31033	11595
728	31076	11552
729	31116	11508
730	31156	11465
731	31194	11420
732	31232	11376
733	31269	11331
734	31308	11287
735	31345	11243
736	31384	11199
737	31426	11156
738	31469	11114
739	31508	11070
740	31550	11027
741	31590	10984
742	31631	10941
743	31670	10897
744	31705	10852
745	31746	10809
746	31785	10765
747	31825	10721
748	31865	10678
749	31911	10637
750	31952	10593
751	32001	10553
752	32042	10510
753	32083	10467
754	32122	10423
755	32165	10381
756	32206	10338
757	32249	10296
758	32295	10254
759	32340	10212
760	32381	10169
761	32421	10126
762	32466	10084
763	32513	10043
764	32553	10000
765	32595	9957
766	32639	9915
767	32678	9871
768	32719	9828
769	32760	9785
770	32800	9742
771	32837	9698
772	32881	9655
773	32923	9613
774	32969	9571
775	33017	9530
776	33062	9489
777	33105	9446
778	33149	9404
779	33191	9361
780	33233	9319
781	33277	9276
782	33317	9233
783	33359	9190
784	33399	9147
785	33443	9105
786	33486	9062
787	33528	9020
788	33569	8977
789	33610	8934
790	33650	8891
791	33687	8847
792	33727	8804
793	33766	8760
794	33805	8717
795	33850	8675
796	33891	8632
797	33930	8589
798	33977	8547
799	34023	8505
800	34064	8462
801	34108	8420
802	34147	8377
803	34188	8334
804	34231	8292
805	34275	8249
806	34317	8207
807	34358	8164
808	34399	8121
809	34447	8080
810	34493	8038
811	34538	7996
812	34585	7955
813	34624	7911
814	34665	7868
815	34710	7826
816	34748	7783
817	34787	7740
818	34825	7696
819	34865	7653
820	34906	7610
821	34951	7568
822	34994	7526
823	35042	7484
824	35104	7446
825	35162	7407
826	35205	7364
827	35244	7321
828	35282	7277
829	35322	7234
830	35366	7192
831	35406	7149
832	35446	7106
833	35490	7064
834	35534	7021
835	35575	6978
836	35614	6935
837	35655	6892
838	35694	6849
839	35734	6806
840	35777	6764
841	35838	6724
842	35885	6683
843	35924	6640
844	35965	6597
845	36008	6554
846	36050	6512
847	36092	6469
848	36132	6426
849	36173	6383
850	36213	6340
851	36255	6297
852	36294	6254
853	36335	6211
854	36374	6168
855	36414	6125
856	36459	6083
857	36498	6040
858	36539	5997
859	36579	5954
860	36621	5912
861	36662	5869
862	36704	5826
863	36744	5783
864	36784	5740
865	36821	5697
866	36859	5654
867	36897	5611
868	36936	5568
869	36976	5525
870	37019	5482
871	37060	5440
872	37102	5397
873	37144	5354
874	37187	5312
875	37228	5269
876	37269	5227
877	37310	5184
878	37350	5141
879	37390	5098
880	37432	5056
881	37472	5013
882	37517	4971
883	37560	4928
884	37605	4886
885	37646	4843
886	37688	4801
887	37727	4758
888	37770	4716
889	37811	4673
890	37852	4630
891	37893	4587
892	37932	4545
893	37973	4502
894	38016	4460
895	38059	4417
896	38099	4374
897	38137	4331
898	38178	4289
899	38215	4246
900	38253	4203
901	38294	4160
902	38331	4117
903	38373	4075
904	38413	4032
905	38457	3990
906	38499	3947
907	38550	3905
908	38592	3863
909	38630	3820
910	38683	3779
911	38734	3737
912	38781	3695
913	38826	3653
914	38866	3610
915	38913	3568
916	38954	3525
