Feature,MI_Score
phase_circular_variance,1.8465776167453023
phase_circular_std,1.846548750774438
i_var,1.8465018624441805
i_std,1.8464295376820496
i_mean,1.8448705697562702
q_var,1.8445402494602723
q_std,1.844448529506251
i_rms,1.841197263128778
q_rms,1.8411575005750918
iq_amplitude_ratio,1.818375221238033
phase_var,1.806817305213425
phase_std,1.8067787222893605
mag_std,1.8032948595019618
mag_var,1.8032213751859556
mag_mean,1.803201226654533
amplitude_variation,1.8031774603742137
evm_rms,1.8010277296903858
evm,1.7877877815055427
phase_unwrapped_std,1.7561194606498411
inst_freq_kurtosis,1.7159139794614093
freq_acceleration_std,1.7089875404740051
inst_freq_var,1.691823921566617
inst_freq_std,1.6918001969091567
iq_imbalance_dc,1.660302151927885
inst_freq_skewness,1.640679001807726
phase_unwrapped_range,1.508235439662029
burst_duty_cycle,1.437031241882861
num_peaks,1.3831234840751567
spectral_rolloff_95,1.381014808606431
spectral_centroid_mag,1.380607052910312
spectral_rolloff_85,1.3800169986670139
phase_unwrapped_mean,1.3522020727386672
spectral_bandwidth_mag,1.3114165301036866
i_kurtosis,1.3098958629278665
inst_freq_mean,1.3041307542980598
mag_min,1.230243881563696
inst_freq_range,1.1846974153626233
phase_unwrapped_slope,1.161885396308835
phase_kurtosis,1.1589051047081602
am_depth,1.0908346455000415
mag_kurtosis,1.0792590547809313
mag_skewness,1.0709576076231526
mag_range,1.0437321853330315
q_kurtosis,1.031061428895077
mag_peak_to_avg,0.9911493602681904
mag_max,0.9799109245244155
q_skewness,0.8548623585907582
i_skewness,0.8373869917201624
log_lik_DJI_Inspire1Pro,0.7630595955798785
log_lik_FlySky_FST6,0.7595099336451945
log_lik_DJI_Matrice100,0.7558394735988028
log_lik_JetiDuplex_DC16,0.7532110169673629
log_lik_Turnigy_9X,0.7507850123449229
log_lik_Graupner_MC32,0.7495216411148542
log_lik_Futaba_T8FG,0.7493172317560903
log_lik_Spektrum_DX6i,0.7469298985307846
log_lik_DJI_Phantom3,0.7448260479519804
log_lik_Spektrum_DX6e,0.7429200423177664
log_lik_DJI_Phantom4Pro_1,0.7399338523472618
log_lik_Spektrum_JRX9303,0.7336142439295807
log_lik_HobbyKing_HKT6A,0.7163079320656789
log_lik_Spektrum_DX5e,0.705180674010482
phase_circular_mean,0.675156472902267
q_mean,0.6371362626659178
iq_imbalance_power_db,0.6323247158051744
iq_power_ratio,0.6323082725394413
log_lik_DJI_Phantom4Pro_2,0.5514561893671126
phase_mean,0.5412165028776665
phase_skewness,0.5243754974814627
log_lik_DJI_Matrice600_1,0.501481316035906
log_lik_DJI_Matrice600_2,0.49864411960684096
freq_acceleration_mean,0.449045381133121
phase_range,0.20407402399475982
iq_correlation,0.15105919246186605
mag_rms,0.015147153757663734
sampling_rate,0.0034002184897885535
peak_prominence_mean,0.002429109860749179
normalized_rms,0.0010846239720128104
signal_length,0.0
